CodProducto;Nombre;ContenidoInternoCaja;ContenidoInternoBlister;ContenidoInternoUnidad;ValorCajaContado;ValorBlisterContado;ValorUnidadContado;InventarioCaja;InventarioBlister;InventarioUnidad
100004617;TERRAMICINA UNGUENTO OFTALMICO 10 GR;1;0;0;26500.00;.00;.00;13;0;0
100005665;SMECTA 3 GR 10 SBS (M);10;0;1;67900.00;.00;6800.00;17;0;31
100004465;SERVAMOX 250 MG SUSPENSION 100 ML (B);1;0;0;12000.00;.00;.00;8;0;0
100001656;AMOXICILINA 250 MG SUSPENSION 100 ML GF;1;0;0;6900.00;.00;.00;3;0;0
100005921;NORAVER CEREZA 96 PASTILLAS;16;0;1;117900.00;7800.00;7900.00;1;13;5
100005926;NORAVER CEREZA SPRAY 120 MLL;1;0;0;30900.00;.00;.00;10;0;0
100005965;SAL DE FRUTAS LUA;50;0;1;94700.00;.00;1900.00;2;0;267
100001778;OMEPRAZOL 20 MG 10  GF;1;0;0;3500.00;.00;.00;3;0;0
100001719;FLUCONAZOL 200 MG 4 CAPSULAS GF;1;0;0;10900.00;.00;.00;2;0;0
100001741;IBUPROFENO+METOCARBAMOL 30 TABLETAS GF (B);30;3;10;38300.00;12800.00;1300.00;5;6;15
100001802;SILIMARINA 150 MG 20 CAPSULAS GF;1;0;0;17800.00;9000.00;9000.00;3;1;1
100001818;TRAMADOL 50 MG 10 CAPSULAS GF;1;0;0;9800.00;.00;3768.00;2;0;0
100004900;PEDIAVIT GOTAS;1;0;0;20900.00;.00;.00;10;0;0
100004933;RETIBLAN 100 MG 50 CAPSULAS;5;0;1;36200.00;7800.00;7500.00;19;11;8
100007876;CLORANFENICOL 250 MG 50 CAPSULAS PC;1;0;0;32500.00;6500.00;1000.00;5;4;9
100006221;FLUIMUCIL 100 MG 30 SBS;30;0;1;37200.00;24000.00;1500.00;2;0;95
100008821;FLUIMUCIL 600 MES 30 SBS;30;0;1;78900.00;.00;2800.00;6;0;116
100006234;PANOTIL BETA GOTAS 8 ML;1;0;0;18900.00;.00;.00;9;0;0
100002109;BEDOYECTA 3 AMPOLLAS (M);3;0;1;880000.00;14600.00;32500.00;20;0;6
100002506;DOXICICLINA 100 MG 10 TABLETAS LS;1;0;0;7500.00;.00;.00;2;0;0
100002551;LORATADINA JARABE 100 ML LS;1;0;0;7200.00;.00;.00;17;0;0
100002472;CEFALEXINA 250 MG SUSPENSION 60 ML LS;1;0;0;9500.00;.00;.00;2;0;0
100001259;CHA.HYGIENEX PIRETRO ANTIPIOJOS 24 SBS;24;0;1;45600.00;.00;2000.00;1;0;36
100001314;LACTULAX 12 SBS JARABE 15 ML;12;0;1;85300.00;.00;7200.00;1;0;18
100005172;ROXICAINA POMADA 10 GR;1;0;0;21000.00;.00;.00;11;0;0
100000246;PASSIFLORA ASEPTIC 120 ML;1;0;0;14900.00;.00;.00;1;0;0
100003784;ANTIBIL POLVO;1;0;0;4700.00;.00;.00;5;0;0
100007904;ASAWIN 100 MG NINOS 100 TABLETAS;100;10;10;34900.00;3500.00;111111.00;6;32;0
100007908;PEPSAMAR 100 TABLETAS;100;10;10;28900.00;3000.00;11111.00;5;27;8
100005296;WINADEINE F 30 TABLETAS;3;0;1;99500.00;29800.00;33500.00;9;0;11
100005212;CALMIDOL COMPUESTO 48 GRAGEAS;48;4;12;57900.00;14500.00;1500.00;2;12;45
100002870;OFTALMOTRISOL GOTAS 15 ML;1;0;0;16900.00;.00;.00;19;0;0
100007820;AMOXICILINA 500 MG 50 CAPSULAS AG (B);5;0;1;28900.00;5900.00;4900.00;27;9;23
100003916;HIDROCORTISONA 1% CREMA 15 GR AG;1;0;0;5600.00;.00;.00;52;0;0
100003899;FLUCONAZOL 150 MG 1 CAPSULA AG (B);1;0;0;2800.00;.00;.00;1;0;0
100003885;DICLOXACILINA 500 MG 50 CAPSULAS AG;50;5;10;55700.00;7600.00;11111.00;14;13;0
100003893;ENALAPRIL 5 MG 30 TABLETAS AG;1;0;0;5800.00;.00;.00;45;0;0
100003892;ENALAPRIL 20 MG 30 TABLETAS AG (B);1;0;0;5400.00;1800.00;700.00;184;0;0
100003839;AMOXICILINA 250 MG SUSPENSION 100 ML AG (B);1;0;0;8900.00;.00;.00;13;0;0
100003881;CLOTRIMAZOL 1% CREMA VAGINAL 40 GR AG;1;0;0;13000.00;.00;.00;14;0;0
100003943;NAPROXENO 500 MG 10 TABLETAS AG;1;0;0;7800.00;.00;800.00;52;0;16
100009545;BETAMETASONA 0.1% CREMA 20 GR AG;1;0;0;9900.00;5000.00;5000.00;60;0;0
100004215;UNGUENTO MEREY 12 UDS;12;0;1;102100.00;.00;8900.00;3;0;41
100001178;AGUA DESTILADA 5 ML 100 AMPOLLAS;100;0;1;36900.00;.00;500.00;0;0;34
100001937;1EMULSION SCOTT CTE 360 ML;1;0;0;16500.00;.00;.00;8;0;0
100001919;DOLEX JARABE NINOS 90 ML;1;0;0;11500.00;.00;.00;58;0;0
100001846;CHA.CHAMPIOJO 24 SBS;24;0;1;39800.00;18200.00;2000.00;0;0;19
100001858;SUERO GERCO RHIFISOL 12X14;12;0;1;26200.00;.00;2500.00;3;0;49
100001406;NERVISERUM VITAM 10 AMPOLLAS;10;0;1;69800.00;.00;10900.00;4;0;6
100007913;MICROGYNON 21 TABLETAS;1;0;0;7900.00;.00;.00;22;0;0
100007914;MICROGYNON CD 28 TABLETAS;1;0;0;6000.00;.00;.00;8;0;0
100005447;PRIMOSISTON 30 TABLETAS;30;3;10;36600.00;12300.00;1300.00;0;0;1
100005039;BACTRIM 40+200 MG SUSPENSION 100 ML;1;0;0;53900.00;.00;.00;3;0;0
100001912;DOLEX 500 MG 200 TABLETAS;20;0;1;104700.00;5500.00;5000.00;5;24;29
100001916;DOLEX GRIPA 100 TABLETAS;100;25;4;97000.00;3900.00;1000.00;8;113;2
100007778;ACETAMINOFEN 500 MG 100 TABLETAS GF (B);10;0;1;14500.00;1500.00;1000.00;6;11;7
100012732;ACETAMINOFEN 500 MG 100 TABLETAS AG (B);10;0;1;15500.00;1500.00;2500.00;71;21;19
100001410;ACIDO FOLICO 5 MG 20 TABLETAS EC;1;0;0;12900.00;5900.00;500.00;14;1;0
100001649;ALBENDAZOL SUSPENSION 20 ML GF;1;0;0;2900.00;.00;.00;1;0;0
100005730;ALBENDAZOL 200 MG 2 TABLETAS MK;1;0;0;2800.00;.00;.00;3;0;0
100005738;AMLODIPINO 10 MG 10 TABLETAS MK;10;1;10;10900.00;.00;.00;12;0;0
100008953;ALOPURINOL 100 MG 30 TABLETAS AG;1;0;0;11000.00;3900.00;500.00;16;0;0
100010261;2BIOCALCIUM D POLVO 500 MG 30 SBS MK;1;0;0;64500.00;.00;2000.00;3;0;11
100005771;BENZOATO DE BENCILO 120 ML MK;1;0;0;24000.00;.00;.00;4;0;0
7702195086748;BISACODILO 5 MG;100;5;20;23000.00;4900.00;500.00;12;6;0
100007931;CAPTOPRIL 50 MG 30 TABLETAS MK;30;3;10;6000.00;2000.00;1111.00;12;0;0
100002489;CLOTRIMAZOL 100 MG 6 TBS VAGINALES LS;1;0;0;7500.00;.00;.00;9;0;0
100014688;CETIRIZINA JARABE 60 ML EX;1;0;0;7600.00;.00;.00;5;0;0
100011255;CLORFENIRAMINA JARABE 120 ML LC;1;0;0;5800.00;.00;1566.00;14;0;0
100014033;DEFLAZACORT 6 MG 10 TABLETAS AG;1;0;0;16800.00;.00;.00;5;0;0
100012429;DESLORATADINA 5 MG 10 TABLETAS LS;1;0;0;17900.00;.00;.00;7;0;0
100014221;ESOMEPRAZOL 20 MG 30 TABLETAS PC;30;10;3;47900.00;14900.00;1500.00;22;9;6
100003903;GEMFIBROZILO 600 MG 20 TABLETAS AG;1;0;0;13500.00;6900.00;900.00;9;1;0
100007786;GENTAMICINA 80 MG 6 AMPOLLAS GF;6;0;1;28900.00;.00;5000.00;3;0;5
7702195056444;GINKGO BILOBA 80 MG / 20 TABLETAS;1;0;0;9500.00;.00;.00;2;0;0
7702195076510;HIOSCINA N-BUTILBROMURO 10 MG / 20 TABLETAS;20;2;10;9800.00;4000.00;111111.00;12;1;0
100012363;NAPROXENO 250 MG 300 TABLETAS LP;30;0;1;95000.00;3100.00;2500.00;0;2;33
100012369;SULFATO FERROSO 300 MG 300 TABLETAS LP;30;0;1;35600.00;1000.00;1200.00;0;23;29
100013783;TRIMEBUTINA LP 300 MG 10 TABLETAS MK;1;0;0;24900.00;.00;6900.00;6;0;0
7702605102785;TRIMETOPRIM SULFAMETAZOL 120ML SUSPENSION;1;0;0;8900.00;.00;.00;2;0;0
7707035510100;CEFALEXINA 500MG.CAP. CEPRAX;50;5;10;58900.00;11900.00;2000.00;8;5;0
100012345;CIPROFLOXACINA 500 MG 300 TABLETAS LP (B);30;0;1;191000.00;.00;6900.00;1;0;0
100006955;IBUPROFENO 800 MG 50 TABLETAS AG (B);50;5;10;14800.00;3800.00;500.00;24;7;18
100005832;DICLOFENACO RETARD 100 MG 20 CAPSULAS MK (B);20;4;5;11900.00;3000.00;3500.00;19;7;9
100010201;BETAMETASONA 8 MG 2 ML 10 AMPOLLAS GF;10;0;1;69500.00;.00;6900.00;19;0;29
100009987;AFELEX 500 MG 10 CAPSULAS ICOM (B);1;0;0;23900.00;.00;4100.00;52;0;5
100009972;ALERCLAR 10 MG 10 TABLETAS ICOM (B);1;0;0;16500.00;.00;1500.00;22;0;0
100011424;CATALAC 500 MG 100 TABLETAS ICOM (B);10;0;1;38200.00;2500.00;2500.00;35;38;4
100011052;CATALAC JARABE 90 ML ICOM (B);1;0;0;7600.00;.00;.00;20;0;0
100009976;DOLIVIUM 400 MG 100 TABLETAS ICOM (B);100;10;10;65500.00;6300.00;11111.00;3;4;1
100014446;LOSTIN 20 MG 20 TABLETAS ICOM (B);1;0;0;12900.00;6900.00;1000.00;7;0;0
100009990;ZIDOXTIFEN 500 MG 3 TABLETAS ICOM (B);1;0;0;44900.00;.00;.00;56;0;0
100009989;ZIDOXTIFEN 200 MG SUSPENSION 15 ML ICOM (B);1;0;0;30500.00;.00;.00;8;0;0
7707019468502;TINIDAZOL 500MG.8TBS.FINAMEB;1;0;0;9800.00;.00;2000.00;16;0;0
7707019332605;FUNGISTEROL X 10 TABLETAS (B);1;0;0;12900.00;.00;.00;36;0;0
7707019380613;SERTRALINA 50MG.SERTRANQUIL;1;0;0;22800.00;.00;.00;58;0;0
7707019381054;MIO RELAX 4MG  10 TABLETAS;1;0;0;43200.00;12500.00;1700.00;4;0;0
7707019413908;TRICLIMBAC 10ML SOLUCION OTICA (B);1;0;0;25900.00;.00;.00;30;0;0
7707019481600;METFORMINA 850MG. DIGLUFOR;3;0;1;17500.00;5900.00;5000.00;30;3;10
100012359;METFORMINA 850 MG 300 TABLETAS LP (B);300;30;10;109700.00;3900.00;1111111.00;1;17;0
100014450;YODOPOVIL BUCOFARINGEO 60 ML IC;1;0;0;7900.00;.00;.00;44;0;0
200001724;VICK JARABE NINOS ADULTOS 120 ML;1;0;0;22800.00;.00;.00;2;0;0
200014730;VICK JARABE MIEL 120 ML;1;0;0;24000.00;.00;.00;5;0;0
200007921;MANTECA DE CACAO ICOM 100 UDS;100;0;1;33500.00;.00;500.00;3;0;347
200005893;NIXODERM UNGUENTO 20 GR;1;0;0;7800.00;.00;.00;11;0;0
200007920;MANTECA DE CACAO ICOM LABIAL 12 UDS;12;0;1;17900.00;.00;1500.00;45;0;53
100002314;CITROMEL LIQUIDO 310 ML;1;0;0;15500.00;.00;.00;5;0;0
200020900;INHALO CAMARA ICOM ADULTO;1;0;0;21500.00;.00;.00;11;0;0
200020867;INHALO CAMARA ICOM PEDIATRICO;1;0;0;21500.00;.00;.00;14;0;0
200017060;TINTE IRIS 17 AZUL OSCURO 9 GR 12 UDS;12;0;1;24100.00;.00;2000.00;1;0;5
200018460;KOLA GRANULADA JGB VAINILLA 135 GR;1;0;0;6900.00;.00;.00;5;0;0
200018461;1KOLA GRANULADA JGB 135 GR;1;0;0;7500.00;.00;.00;5;0;0
100010142;DOLEX FORTE 48 TABLETAS;48;6;8;54000.00;9500.00;1300.00;3;8;7
7501043130769;DOLEX JARABE NINOS 120 ML 7+;1;0;0;16700.00;.00;.00;8;0;0
100014764;SAL BONFIEST LUA PLUS 32 SBS;32;0;1;84000.00;.00;2600.00;3;0;121
100013901;BUSCAPINA FEM 90 TABLETAS;90;15;6;128000.00;8500.00;1500.00;1;40;17
7702870004739;SEVEDOL 60 TABLETAS;60;10;6;65000.00;6500.00;1100.00;3;27;12
100016040;MOVIDOL 48 TABLETAS;48;8;6;60000.00;7900.00;1500.00;14;32;9
100015552;CALMIDOL MAX 48 GRAGEAS;48;6;8;62500.00;10800.00;1500.00;7;17;22
100012206;GASTRUM 10 MG 48 TABLETAS;48;4;12;46500.00;11900.00;1200.00;6;11;40
7706263202603;PAX DIA 6G X 24 SOBRE NARANJA;24;0;1;46800.00;.00;2000.00;3;0;3
7706263202627;PAX NOCHE LIMON 6G;24;0;1;43500.00;.00;2000.00;6;0;15
100005923;NORAVER MENTA 96 PASTILLAS;16;0;1;122800.00;7800.00;7900.00;3;42;6
200018974;CREMA DENTAL COLGATE TRIPLE ACCION 22 GR;12;0;1;15900.00;.00;1300.00;17;0;11
200016203;CREMA DENTAL COLGATE TRIPLE ACCION 75 GR;1;0;0;5000.00;.00;.00;33;0;0
100002650;DOLNI-K ENJUAGUE BUCAL 180 ML;1;0;0;27900.00;.00;.00;9;0;0
100005927;NORAVER MENTA REPUESTO 120 ML;1;0;0;23900.00;.00;9175.00;3;0;0
100002648;ENJUAGUE CLORHEXOL 180 ML;1;0;0;27700.00;.00;.00;8;0;0
7702132008529;ADVIL ULTRA 72 CAPSULAS;72;18;4;101000.00;5700.00;1600.00;2;17;2
7702132008802;ADV. DRISTAN TRIPLE NF ACCION X 100 TABLETAS;25;0;1;71000.00;3000.00;3000.00;0;18;20
7707200909890;CREMA CALENDULA  60G;1;0;0;14900.00;.00;.00;8;0;0
200005498;DTE LADY BARRA INV.FLORAL 45 GR;1;0;0;26900.00;.00;.00;1;0;0
200005476;DTE MENNEN BARRA CLASSIC 50 GR;1;0;0;26900.00;.00;.00;2;0;0
200016539;SPRAY DTE DEOPIES MUJERES 260 ML;1;0;0;17500.00;.00;.00;9;0;0
200016538;SPRAY DEOPIES ANTITRANSPIRANTE 260ML;1;0;0;16900.00;.00;.00;6;0;0
200016540;SPRAY DTE DEOPIES XTREM 260 ML;1;0;0;17900.00;.00;.00;7;0;0
200018469;DTE GEL LADY FLORAL FRESH 65 GR;1;0;0;18300.00;.00;.00;11;0;0
7509546030258;MINI DTE LADY SPEED STICK DOUBLE 20G;1;0;0;3700.00;.00;.00;10;0;0
7509546045313;DTE BARRA SPEEDSTICK 24/7 EXTREME 50G;1;0;0;13800.00;.00;.00;1;0;0
7509546030241;MINI DTE SPEEDSTICK 24/7 COOL NIGHT;1;0;0;3600.00;.00;.00;11;0;0
200007187;ESPUMA AFEITAR JGB 396 GR;1;0;0;25900.00;.00;.00;5;0;0
200008423;CHA.PANTENE LISO EXTREMO A.PROV 200 ML;1;0;0;11400.00;.00;.00;6;0;0
200001660;CHA.PANTENE RIZOS DEF.A.PROV 400 ML;1;0;0;20000.00;.00;.00;6;0;0
7707019330205;EUTARPEN JARABE 100ML;1;0;0;29900.00;.00;.00;17;0;0
200016581;PRE. DEXEX LUBRICADO 3 UDS ICOM;1;0;0;6900.00;.00;2000.00;83;0;0
200016580;PRE. DEXEX PUNTO G 3 UDS ICOM;1;0;0;7900.00;.00;2900.00;33;0;2
200016582;PRE. DEXEX SENSITIVO 3 UDS ICOM;1;0;0;7900.00;.00;.00;22;0;0
7702132403959;SBS PRES. TODAY PUNTO G;1;0;0;11000.00;.00;.00;20;0;0
200015224;ERASSIN 100 MG 2 TABLETAS LB;1;0;0;20500.00;.00;6000.00;196;0;1
100012775;EROXIM FAST INSTANTAB 50 MG 2 TABLETAS;1;0;0;21900.00;.00;.00;21;0;0
100005464;YASMIN 21 COMPRIMIDOS;1;0;0;28000.00;.00;.00;10;0;0
100010406;MINIPIL SUAVE 21 TABLETAS;1;0;0;7900.00;.00;.00;30;0;0
200001991;CYCLOFEM 1 AMPOLLA;1;0;0;21000.00;.00;.00;18;0;0
100013780;SINOVUL 21 TABLETAS;1;0;0;12900.00;.00;.00;32;0;0
100002063;BELARA 21 GRAGEAS (M);1;0;0;25900.00;.00;.00;7;0;0
100009592;NORVETAL 21 GRAGEAS;1;0;0;6900.00;.00;.00;15;0;0
100010581;YAX 21 TABLETAS (M);1;0;0;26900.00;.00;.00;15;0;0
100012221;2.PRUEBA DE EMBARAZO ICOM TIRA;1;0;0;7200.00;.00;.00;26;0;0
200002953;CREMA # 4 MEDICADA 60 GR;1;0;0;19900.00;.00;.00;11;0;0
200003008;YODORA CREMA 12GR.;1;0;0;2700.00;.00;.00;65;0;0
100005815;CREMA # 4 110 GR;1;0;0;27800.00;.00;.00;10;0;0
200017637;JABON DOVE BLANCO 90 GR;1;0;0;3500.00;.00;.00;63;0;0
100009674;SILDENAFIL MASTICABLE 2 TABLETAS LS;2;0;1;6000.00;.00;3000.00;14;0;0
200020625;CREMA LUBRIDERM LOCION REPARACION INT.400 ML;1;0;0;28800.00;.00;.00;2;0;0
200012453;CREMA LUBRIDERM LOCION EXTRAHUMECTANTE 200 ML;1;0;0;14900.00;.00;.00;13;0;0
200003807;CREMA LUBRIDERM LOCION EXTRAHUMECTANTE 400 ML;1;0;0;25500.00;.00;.00;3;0;0
200020626;CREMA LUBRIDERM LOCION REPARACION INT.200 ML;1;0;0;18900.00;.00;.00;5;0;0
200012459;CREMA LUBRIDERM LOCION U.V.15 200 ML;1;0;0;17900.00;.00;.00;10;0;0
7702010420313;JABON LIQUIDO PROTEX AVENA 221ML;1;0;0;9900.00;.00;.00;4;0;0
1039483267;1.ESMALTE VOGUE 10ML SURTIDO;1;0;0;2800.00;.00;.00;40;0;0
200005302;CILKA CREMA;1;0;0;20000.00;.00;.00;13;0;0
200019271;POLVO SMART SURTIDO;1;0;0;9300.00;.00;.00;14;0;0
7702026032944;PAÑUELOS FAMILIA  GRIPAL;1;0;0;23500.00;.00;1300.00;37;0;16
036600814013;PROT.CHAPSTICK FRESA;1;0;0;11900.00;.00;.00;14;0;0
200003439;CREMA PONDS CLARANT B3 N.GRASA 50 GR;1;0;0;16500.00;.00;.00;22;0;0
100003063;SOREL LOCION FACIAL 120 ML;1;0;0;10900.00;.00;.00;17;0;0
200011233;CREMA PONDS REJUVENESS 50 GR;1;0;0;19000.00;.00;.00;23;0;0
650240003196;CICATRICURE CREMA 60G;1;0;0;57000.00;.00;.00;4;0;0
650240001864;CICATRICURE GEL 60G;1;0;0;52500.00;.00;.00;2;0;0
200003265;MEDIAS SAMSARA SURTIDA AMARILLA;1;0;0;11000.00;.00;.00;4;0;0
200005306;BIGEN 56 CASTANO CENIZO;1;0;0;15900.00;.00;.00;3;0;0
200005311;BIGEN MATICES 37 CAOBA OSCURO;1;0;0;15900.00;.00;.00;3;0;0
200005309;BIGEN 59 NEGRO ORIENTAL;1;0;0;15900.00;.00;.00;2;0;0
200005313;BIGEN MATICES 76 COBRIZO;1;0;0;16900.00;.00;.00;9;0;0
100004638;VISINA GOTAS 15 ML;1;0;0;34600.00;.00;.00;6;0;0
7707277580183;OPHARFLEX SOLUCION OFTALMICA;1;0;0;17500.00;.00;.00;5;0;0
100005143;ANESTECIN CREMA 5 GR;1;0;0;32900.00;.00;.00;7;0;0
100005764;BENZIRIN ROSA 10 SBS (M);10;0;1;95200.00;.00;9600.00;1;0;13
100005203;BEN GAY CREMA DEPORTISTAS 30 GR;1;0;0;22700.00;.00;.00;5;0;0
7703153016869;CLENOX 60MG/0.6ML;1;0;0;29000.00;.00;.00;2;0;0
100009559;ESTERMAX CREMA VAGINAL 40 GR 4 APLIC.(M);1;0;0;66500.00;.00;.00;4;0;0
100011580;ENTEROGERMINA 5 ML 10 AMPOLLAS BEBIBLES;10;0;1;57600.00;.00;5900.00;10;0;29
100011200;FLECTADOL 20 CAPSULAS;20;0;1;87700.00;25900.00;4400.00;4;0;0
7706263001961;HIPERLIPEN 100MG;2;0;1;15500.00;.00;6900.00;2;0;0
100000952;ISODINE SOLUCION 120 ML;1;0;0;17800.00;.00;.00;9;0;0
100012580;KIDCAL SUSPENSION 180 ML TUTIFRUTTI;1;0;0;51700.00;.00;.00;5;0;0
100009073;KILOX 0.6% GOTAS 5 ML;1;0;0;29800.00;.00;.00;30;0;0
100001338;TRIGENTAX CREMA 40 GR;1;0;0;34600.00;.00;.00;8;0;0
200020448;ALGODON ZIG ZAG MK 50 GR;1;0;0;3500.00;.00;.00;1;0;0
200004610;SUERO FISIOLOGICO CLOR.SODIO 500 ML 1323;1;0;0;3000.00;.00;.00;34;0;0
200002005;ACEITE ALMENDRAS 20 ML 12 UDS PROMEGAN;12;0;1;12900.00;.00;1500.00;0;0;27
200006015;GLICERINA PURA 12 UDS DISANFER;12;0;1;14900.00;.00;1500.00;0;0;14
7703166002552;TINTURA DE BENJUI COMPUESTA;12;0;1;12000.00;.00;1000.00;0;0;4
200002011;ACEITE RICINO 20 ML 12 UDS PROMEGAN;12;0;1;15900.00;.00;1500.00;0;0;14
200002008;ACEITE MANZANILLA 20 ML 12 UDS PROMEGAN;12;0;1;13500.00;.00;1500.00;0;0;13
200015253;CURA COVERPLAS STANDAR REDONDA 100 UDS;100;0;1;9900.00;.00;100.00;4;0;92
200010044;AZUFRE 20 SBS DISANFER;20;0;1;4600.00;.00;500.00;1;0;21
200006028;SULFATO DE MAGNESIA 50 SBS DISANFER;50;0;1;23900.00;.00;500.00;3;0;152
200009469;ESP.LEUKOPLAST 1X1 12 UDS;12;0;1;34300.00;.00;3000.00;4;0;10
200020202;CAJA COPROLOGICA MEDICAL 50 UDS;50;0;1;16299.00;.00;500.00;3;0;51
200020203;RECOLECTOR  ORINA 50 UDS;50;0;1;18900.00;.00;500.00;6;0;69
200001955;TOA.NOSOTRAS B.NOCHES TEL.GEL 10UDS 4027;1;0;0;11000.00;.00;.00;5;0;0
200019819;LECHE KLIM 1+ 500 GR BOLSA;1;0;0;15900.00;.00;.00;9;0;0
100014481;FIBRA NATURAL ICOM 400 GR;1;0;0;23900.00;.00;.00;6;0;0
100012330;PEDIASURE POLVO FRESA 400 GR;1;0;0;35000.00;.00;.00;3;0;0
7701021114174;WINNY SEC  5/30UN.;30;0;1;29900.00;.00;1200.00;21;0;71
035;PALETA POLET X 12;12;0;1;36900.00;.00;3200.00;2;0;19
039;CASERO SURTIDO X 25;25;0;1;24000.00;.00;1000.00;2;0;4
044;PALETA JET;14;0;1;26900.00;.00;2500.00;2;0;4
200018470;DTE MENNEN GEL 24/7 COOL NIGHT 85 GR;1;0;0;17900.00;.00;.00;6;0;0
100014554;AMLODIPINO 5 MG 30 TABLETAS AG;3;0;1;12800.00;3500.00;2600.00;35;3;2
100015111;MEPROGAL 15 MG 10 TBS ICOM;10;0;1;25500.00;.00;3000.00;19;0;12
7707019381085;MIO RELAX 2MG 20 TABLETAS;20;2;10;40500.00;20900.00;2900.00;9;1;0
7702133253119;HALLS X 10 NEGRO;12;0;1;11800.00;.00;1000.00;1;0;0
7707019459005;TRICLOMIFAR CREMA 20 GR;1;0;0;18500.00;.00;.00;20;0;0
7707019459029;TRICLOMIFAR CREMA 40 GR;1;0;0;22900.00;.00;.00;14;0;0
200003032;TALCO YODORA 60 GR;1;0;0;5900.00;.00;.00;26;0;0
770081;BOCATO CONO STDOS X 12 UND;12;0;1;36900.00;.00;3200.00;2;0;2
7702402151009;VASO ALOHA RASPADO;12;0;1;28900.00;.00;2500.00;0;0;16
200020234;CHA ELVIVE REPARACION TOTAL 5 400 ML;1;0;0;18800.00;.00;.00;6;0;0
200013177;APOSITO CALLICIDA HANSAPLAST 6 UDS;6;0;1;12000.00;.00;2000.00;8;0;6
100015866;TOTUMO JARABE NAT.EVOLUTION 240 ML;1;0;0;16900.00;.00;.00;3;0;0
100016198;CERITAMIN JARABE 60 ML ICOM;1;0;0;22900.00;.00;.00;3;0;0
100016199;CERITAMIN 10 MG 10 TABLETAS ICOM;1;0;0;22500.00;.00;.00;6;0;0
7702018880409;MAQ.PRESTOBARBA 3 UNIDAD;10;0;1;72900.00;.00;4000.00;4;0;17
100007825;LOVASTATINA 20 MG 20 TABLETAS AG;1;0;0;10800.00;.00;.00;16;0;0
7891010032241;TALCO JJ X 200;1;0;0;19900.00;.00;.00;1;0;0
100008570;METRONIDAZOL 250 MG SUSPENSION 120 ML MK;1;0;0;10900.00;.00;.00;1;0;0
100003932;LORATADINA 10 MG 20 TABLETAS AG;2;0;1;5400.00;2700.00;2500.00;77;2;0
100005035;APRONAX 550 MG 20 TABLETAS;20;0;1;35000.00;.00;1800.00;0;0;7
7707274721091;BECLOMETASONA 50 MG NASAL 200 DOSIS;1;0;0;33500.00;.00;.00;13;0;0
7703712030350;IBUPROFENO 800 MG X 60 CAJA;60;6;10;18900.00;3500.00;2500.00;45;16;9
