ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1
,variable,7707177971586,LAXIUM 5 MG X 100 TB,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7707177971586-Caja,LAXIUM 5 MG X 100 TB - Caja,1,,visible,,,,,,,1,2,,,,,,,,,,,27900.00,,,,,,,7707177971586,,,,,,1,Presentacion,Caja,,
,variation,7707177971586-Blister,LAXIUM 5 MG X 100 TB - Blister,1,,visible,,,,,,,1,6,,,,,,,,,,,3000.00,,,,,,,7707177971586,,,,,,1,Presentacion,Blister,,
,simple,100003932,LORATADINA 10 MG 20 TABLETAS AG,1,,visible,,,,,,,1,8,,,,,,,,,,,4900.00,,,,,,,,,,,,,,,,,
,simple,C100003932,LORATADINA 10 MG 20 TABLETAS AG,1,,visible,,,,,,,1,12,,,,,,,,,,,4800.00,,,,,,,,,,,,,,,,,
,simple,100025976,VITAMINA E 400 U.I+VIT.A 3500U.I X 150 CAPSULAS ICOM,1,,visible,,,,,,,1,7,,,,,,,,,,,5500.00,,,,,,,,,,,,,,,,,
,variable,100017381,DICLOFENACO 50 MG  250 GRAGEAS ECAR,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100017381-Caja,DICLOFENACO 50 MG  250 GRAGEAS ECAR - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,37400.00,,,,,,,100017381,,,,,,1,Presentacion,Caja,,
,variation,100017381-Blister,DICLOFENACO 50 MG  250 GRAGEAS ECAR - Blister,1,,visible,,,,,,,1,18,,,,,,,,,,,1800.00,,,,,,,100017381,,,,,,1,Presentacion,Blister,,
,variable,100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100000477-Caja,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS - Caja,1,,visible,,,,,,,1,18,,,,,,,,,,,44900.00,,,,,,,100000477,,,,,,1,Presentacion,Caja,,
,variation,100000477-Blister,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS - Blister,1,,visible,,,,,,,1,38,,,,,,,,,,,1900.00,,,,,,,100000477,,,,,,1,Presentacion,Blister,,
,simple,C100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,1,,visible,,,,,,,1,22,,,,,,,,,,,1800.00,,,,,,,,,,,,,,,,,
,variable,7701021114006,WINNY ULT SEC ETAPA 4 X 30 UNIDADES,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7701021114006-Caja,WINNY ULT SEC ETAPA 4 X 30 UNIDADES - Caja,1,,visible,,,,,,,1,8,,,,,,,,,,,27000.00,,,,,,,7701021114006,,,,,,1,Presentacion,Caja,,
,variation,7701021114006-Unidad,WINNY ULT SEC ETAPA 4 X 30 UNIDADES - Unidad,1,,visible,,,,,,,1,22,,,,,,,,,,,900.00,,,,,,,7701021114006,,,,,,1,Presentacion,Unidad,,
,variable,100019403,LOPERAMIDA 2 MG 240 TABLETAS EC,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100019403-Caja,LOPERAMIDA 2 MG 240 TABLETAS EC - Caja,1,,visible,,,,,,,1,2,,,,,,,,,,,84900.00,,,,,,,100019403,,,,,,1,Presentacion,Caja,,
,variation,100019403-Blister,LOPERAMIDA 2 MG 240 TABLETAS EC - Blister,1,,visible,,,,,,,1,106,,,,,,,,,,,3900.00,,,,,,,100019403,,,,,,1,Presentacion,Blister,,
,variable,7702184011256,LOPERAMIDA 2 MG 240 TABLETAS EC,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7702184011256-Blister,LOPERAMIDA 2 MG 240 TABLETAS EC - Blister,1,,visible,,,,,,,1,14,,,,,,,,,,,3500.00,,,,,,,7702184011256,,,,,,1,Presentacion,Blister,,
,variation,7702184011256-Unidad,LOPERAMIDA 2 MG 240 TABLETAS EC - Unidad,1,,visible,,,,,,,1,10,,,,,,,,,,,3500.00,,,,,,,7702184011256,,,,,,1,Presentacion,Unidad,,
,simple,100018468,TRIMEBUTINA 200 MG 300 TABLETAS LP (T),1,,visible,,,,,,,1,8,,,,,,,,,,,5900.00,,,,,,,,,,,,,,,,,
,variable,100003885,DICLOXACILINA 500 MG 50 CAPSULAS AG,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100003885-Caja,DICLOXACILINA 500 MG 50 CAPSULAS AG - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,39900.00,,,,,,,100003885,,,,,,1,Presentacion,Caja,,
,variation,100003885-Blister,DICLOXACILINA 500 MG 50 CAPSULAS AG - Blister,1,,visible,,,,,,,1,4,,,,,,,,,,,5900.00,,,,,,,100003885,,,,,,1,Presentacion,Blister,,
,variable,7707019301526,LIGARIL D 500MG X 30 TABLETAS ,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7707019301526-Caja,LIGARIL D 500MG X 30 TABLETAS  - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,24900.00,,,,,,,7707019301526,,,,,,1,Presentacion,Caja,,
,variation,7707019301526-Blister,LIGARIL D 500MG X 30 TABLETAS  - Blister,1,,visible,,,,,,,1,1,,,,,,,,,,,8900.00,,,,,,,7707019301526,,,,,,1,Presentacion,Blister,,
,variation,7707019301526-Unidad,LIGARIL D 500MG X 30 TABLETAS  - Unidad,1,,visible,,,,,,,1,1,,,,,,,,,,,1000.00,,,,,,,7707019301526,,,,,,1,Presentacion,Unidad,,
,variable,7707019337112,MEXICAN 15 MG X 10 TBS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7707019337112-Caja,MEXICAN 15 MG X 10 TBS - Caja,1,,visible,,,,,,,1,8,,,,,,,,,,,12900.00,,,,,,,7707019337112,,,,,,1,Presentacion,Caja,,
,variation,7707019337112-Unidad,MEXICAN 15 MG X 10 TBS - Unidad,1,,visible,,,,,,,1,5,,,,,,,,,,,1500.00,,,,,,,7707019337112,,,,,,1,Presentacion,Unidad,,
,variable,100014360,LOSARTAN 50 MG 30 TABLETAS AG,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100014360-Caja,LOSARTAN 50 MG 30 TABLETAS AG - Caja,1,,visible,,,,,,,1,16,,,,,,,,,,,8900.00,,,,,,,100014360,,,,,,1,Presentacion,Caja,,
,variation,100014360-Blister,LOSARTAN 50 MG 30 TABLETAS AG - Blister,1,,visible,,,,,,,1,2,,,,,,,,,,,3500.00,,,,,,,100014360,,,,,,1,Presentacion,Blister,,
,simple,C100014360,LOSARTAN 50 MG 30 TABLETAS AG,1,,visible,,,,,,,1,6,,,,,,,,,,,8500.00,,,,,,,,,,,,,,,,,
,simple,100014554,AMLODIPINO 5 MG 30 TABLETAS AG,1,,visible,,,,,,,1,8,,,,,,,,,,,9900.00,,,,,,,,,,,,,,,,,
,variable,100020880,ACIDO ACETILSALICILICO 100 MG 100 TBS MP,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100020880-Blister,ACIDO ACETILSALICILICO 100 MG 100 TBS MP - Blister,1,,visible,,,,,,,1,18,,,,,,,,,,,2000.00,,,,,,,100020880,,,,,,1,Presentacion,Blister,,
,variation,100020880-Unidad,ACIDO ACETILSALICILICO 100 MG 100 TBS MP - Unidad,1,,visible,,,,,,,1,27,,,,,,,,,,,300.00,,,,,,,100020880,,,,,,1,Presentacion,Unidad,,
,simple,7704412100404,ACIDO ACETILSALICILICO 100 MG 100 TBS MP,1,,visible,,,,,,,1,27,,,,,,,,,,,2000.00,,,,,,,,,,,,,,,,,
,variable,7702057164157,IBUPROFENO 800 MG X 30 TB MK,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7702057164157-Caja,IBUPROFENO 800 MG X 30 TB MK - Caja,1,,visible,,,,,,,1,3,,,,,,,,,,,7800.00,,,,,,,7702057164157,,,,,,1,Presentacion,Caja,,
,variation,7702057164157-Unidad,IBUPROFENO 800 MG X 30 TB MK - Unidad,1,,visible,,,,,,,1,8,,,,,,,,,,,500.00,,,,,,,7702057164157,,,,,,1,Presentacion,Unidad,,
,simple,7707332986929,NEWTARPAN 5 MG X 30 TABLETAS,1,,visible,,,,,,,1,7,,,,,,,,,,,29900.00,,,,,,,,,,,,,,,,,
,variable,100025266,NIMESULIDA 100 MG 30 CAPSULAS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100025266-Caja,NIMESULIDA 100 MG 30 CAPSULAS - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,18000.00,,,,,,,100025266,,,,,,1,Presentacion,Caja,,
,variation,100025266-Unidad,NIMESULIDA 100 MG 30 CAPSULAS - Unidad,1,,visible,,,,,,,1,6,,,,,,,,,,,1500.00,,,,,,,100025266,,,,,,1,Presentacion,Unidad,,
,variable,100007929,AMPICILINA 500 MG 100 CAPSULAS MK,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100007929-Blister,AMPICILINA 500 MG 100 CAPSULAS MK - Blister,1,,visible,,,,,,,1,16,,,,,,,,,,,6900.00,,,,,,,100007929,,,,,,1,Presentacion,Blister,,
,variation,100007929-Unidad,AMPICILINA 500 MG 100 CAPSULAS MK - Unidad,1,,visible,,,,,,,1,6,,,,,,,,,,,1200.00,,,,,,,100007929,,,,,,1,Presentacion,Unidad,,
,simple,7703546702768,ALIDONA 5 MG X 30 TABLETAS,1,,visible,,,,,,,1,1,,,,,,,,,,,7900.00,,,,,,,,,,,,,,,,,
,variable,100007785,FUROSEMIDA 40 MG 100 TABLETAS GF,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100007785-Caja,FUROSEMIDA 40 MG 100 TABLETAS GF - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,15900.00,,,,,,,100007785,,,,,,1,Presentacion,Caja,,
,variation,100007785-Blister,FUROSEMIDA 40 MG 100 TABLETAS GF - Blister,1,,visible,,,,,,,1,6,,,,,,,,,,,1300.00,,,,,,,100007785,,,,,,1,Presentacion,Blister,,
,variable,7703234103556,CAFIDOL 100 TAB ,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7703234103556-Blister,CAFIDOL 100 TAB  - Blister,1,,visible,,,,,,,1,3,,,,,,,,,,,4900.00,,,,,,,7703234103556,,,,,,1,Presentacion,Blister,,
,variation,7703234103556-Unidad,CAFIDOL 100 TAB  - Unidad,1,,visible,,,,,,,1,1,,,,,,,,,,,1500.00,,,,,,,7703234103556,,,,,,1,Presentacion,Unidad,,
,variable,100007882,METRONIDAZOL 500 MG 10 OVULOS PC,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100007882-Caja,METRONIDAZOL 500 MG 10 OVULOS PC - Caja,1,,visible,,,,,,,1,12,,,,,,,,,,,7900.00,,,,,,,100007882,,,,,,1,Presentacion,Caja,,
,variation,100007882-Unidad,METRONIDAZOL 500 MG 10 OVULOS PC - Unidad,1,,visible,,,,,,,1,10,,,,,,,,,,,1000.00,,,,,,,100007882,,,,,,1,Presentacion,Unidad,,
,simple,C100007882,METRONIDAZOL 500 MG 10 OVULOS PC,1,,visible,,,,,,,1,2,,,,,,,,,,,7500.00,,,,,,,,,,,,,,,,,
,simple,100007765,COLCHIMEDIO 40 TABLETAS,1,,visible,,,,,,,1,2,,,,,,,,,,,42900.00,,,,,,,,,,,,,,,,,
,simple,C100007765,COLCHIMEDIO 40 TABLETAS,1,,visible,,,,,,,1,4,,,,,,,,,,,44500.00,,,,,,,,,,,,,,,,,
,variable,100005921,NORAVER CEREZA 96 PASTILLAS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100005921-Blister,NORAVER CEREZA 96 PASTILLAS - Blister,1,,visible,,,,,,,1,16,,,,,,,,,,,7800.00,,,,,,,100005921,,,,,,1,Presentacion,Blister,,
,variation,100005921-Unidad,NORAVER CEREZA 96 PASTILLAS - Unidad,1,,visible,,,,,,,1,4,,,,,,,,,,,1400.00,,,,,,,100005921,,,,,,1,Presentacion,Unidad,,
,simple,7707035510100,CEPRAX 500 MG X 50 TBS,1,,visible,,,,,,,1,5,,,,,,,,,,,55900.00,,,,,,,,,,,,,,,,,
,variable,100007790,METRONIDAZOL 500 MG 100 TABLETAS GF,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100007790-Caja,METRONIDAZOL 500 MG 100 TABLETAS GF - Caja,1,,visible,,,,,,,1,3,,,,,,,,,,,24900.00,,,,,,,100007790,,,,,,1,Presentacion,Caja,,
,variation,100007790-Blister,METRONIDAZOL 500 MG 100 TABLETAS GF - Blister,1,,visible,,,,,,,1,33,,,,,,,,,,,3000.00,,,,,,,100007790,,,,,,1,Presentacion,Blister,,
,simple,C100007790,METRONIDAZOL 500 MG 100 TABLETAS GF,1,,visible,,,,,,,1,3,,,,,,,,,,,2500.00,,,,,,,,,,,,,,,,,
,simple,100015504,CLORFAM 4 MG 100 TABLETAS ,1,,visible,,,,,,,1,6,,,,,,,,,,,16900.00,,,,,,,,,,,,,,,,,
,simple,G100015504,CLORFAM 4 MG 100 TABLETAS,1,,visible,,,,,,,1,4,,,,,,,,,,,14500.00,,,,,,,,,,,,,,,,,
,variable,100012972,APOSITO OCULAR GOLY ADULTOS 20 UDS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100012972-Caja,APOSITO OCULAR GOLY ADULTOS 20 UDS - Caja,1,,visible,,,,,,,1,3,,,,,,,,,,,9900.00,,,,,,,100012972,,,,,,1,Presentacion,Caja,,
,variation,100012972-Unidad,APOSITO OCULAR GOLY ADULTOS 20 UDS - Unidad,1,,visible,,,,,,,1,19,,,,,,,,,,,800.00,,,,,,,100012972,,,,,,1,Presentacion,Unidad,,
,simple,G100012972,APOSITO OCULAR GOLY ADULTOS 20 UDS,1,,visible,,,,,,,1,9,,,,,,,,,,,900.00,,,,,,,,,,,,,,,,,
,variable,7707288761335,ACAMOL 100 MG X 10 TBS RECUBIETAS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7707288761335-Caja,ACAMOL 100 MG X 10 TBS RECUBIETAS - Caja,1,,visible,,,,,,,1,8,,,,,,,,,,,14900.00,,,,,,,7707288761335,,,,,,1,Presentacion,Caja,,
,variation,7707288761335-Unidad,ACAMOL 100 MG X 10 TBS RECUBIETAS - Unidad,1,,visible,,,,,,,1,4,,,,,,,,,,,1500.00,,,,,,,7707288761335,,,,,,1,Presentacion,Unidad,,
,simple,100021110,ZOPICLONA 7.5 MG X 30 TBS RC,1,,visible,,,,,,,1,4,,,,,,,,,,,24900.00,,,,,,,,,,,,,,,,,
,variable,100023490,DOLEX ACTIVEGEL 20 CAPSULAS LIQUI,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100023490-Caja,DOLEX ACTIVEGEL 20 CAPSULAS LIQUI - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,19800.00,,,,,,,100023490,,,,,,1,Presentacion,Caja,,
,variation,100023490-Blister,DOLEX ACTIVEGEL 20 CAPSULAS LIQUI - Blister,1,,visible,,,,,,,1,1,,,,,,,,,,,10900.00,,,,,,,100023490,,,,,,1,Presentacion,Blister,,
,variation,100023490-Unidad,DOLEX ACTIVEGEL 20 CAPSULAS LIQUI - Unidad,1,,visible,,,,,,,1,2,,,,,,,,,,,1200.00,,,,,,,100023490,,,,,,1,Presentacion,Unidad,,
,simple,200018564,TOA.NOSOTRAS INVIS.RAPIGEL DISP.30 UDS,1,,visible,,,,,,,1,16,,,,,,,,,,,500.00,,,,,,,,,,,,,,,,,
,variable,200035313,STREPSILS INTENSIVE 8.75MG 16 TBS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,200035313-Caja,STREPSILS INTENSIVE 8.75MG 16 TBS - Caja,1,,visible,,,,,,,1,4,,,,,,,,,,,17900.00,,,,,,,200035313,,,,,,1,Presentacion,Caja,,
,variation,200035313-Unidad,STREPSILS INTENSIVE 8.75MG 16 TBS - Unidad,1,,visible,,,,,,,1,10,,,,,,,,,,,1300.00,,,,,,,200035313,,,,,,1,Presentacion,Unidad,,
,simple,C200035313,STREPSILS INTENSIVE 8.75MG 16 TBS,1,,visible,,,,,,,1,6,,,,,,,,,,,18900.00,,,,,,,,,,,,,,,,,
,variable,7707019325836,VIOL-DOL 100 MG X 250 TABLETAS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7707019325836-Caja,VIOL-DOL 100 MG X 250 TABLETAS - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,32900.00,,,,,,,7707019325836,,,,,,1,Presentacion,Caja,,
,variation,7707019325836-Blister,VIOL-DOL 100 MG X 250 TABLETAS - Blister,1,,visible,,,,,,,1,1,,,,,,,,,,,2000.00,,,,,,,7707019325836,,,,,,1,Presentacion,Blister,,
,simple,100017923,CEREBRYL 1200 MG 30 CAP ICOM,1,,visible,,,,,,,1,4,,,,,,,,,,,23900.00,,,,,,,,,,,,,,,,,
,simple,100012684,PRATEN 1 MG 30 TABLETAS,1,,visible,,,,,,,1,1,,,,,,,,,,,9000.00,,,,,,,,,,,,,,,,,
,variable,200031805,COREGA TBS 30 TABLETAS ,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,200031805-Caja,COREGA TBS 30 TABLETAS  - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,18900.00,,,,,,,200031805,,,,,,1,Presentacion,Caja,,
,variation,200031805-Blister,COREGA TBS 30 TABLETAS  - Blister,1,,visible,,,,,,,1,2,,,,,,,,,,,4500.00,,,,,,,200031805,,,,,,1,Presentacion,Blister,,
,variable,7707281040215,CEXTGRAM-T 500 MG 60 CAP,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7707281040215-Caja,CEXTGRAM-T 500 MG 60 CAP - Caja,1,,visible,,,,,,,1,2,,,,,,,,,,,55900.00,,,,,,,7707281040215,,,,,,1,Presentacion,Caja,,
,variation,7707281040215-Blister,CEXTGRAM-T 500 MG 60 CAP - Blister,1,,visible,,,,,,,1,5,,,,,,,,,,,9900.00,,,,,,,7707281040215,,,,,,1,Presentacion,Blister,,
,simple,100012361,METOCLOPRAMIDA 10 MG300 TABLETAS LP,1,,visible,,,,,,,1,1,,,,,,,,,,,23200.00,,,,,,,,,,,,,,,,,
,simple,100007852,TIROXIN 50 MG 50 TABLETAS,1,,visible,,,,,,,1,6,,,,,,,,,,,5900.00,,,,,,,,,,,,,,,,,
,simple,200040449,JERINGA FATS CARE 3P 3 ML 21X1.1/2 100UNI,1,,visible,,,,,,,1,97,,,,,,,,,,,400.00,,,,,,,,,,,,,,,,,
,variable,100020581,NORAVER GRIPA FAST TOTAL 60 CAP,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100020581-Blister,NORAVER GRIPA FAST TOTAL 60 CAP - Blister,1,,visible,,,,,,,1,13,,,,,,,,,,,4500.00,,,,,,,100020581,,,,,,1,Presentacion,Blister,,
,variation,100020581-Unidad,NORAVER GRIPA FAST TOTAL 60 CAP - Unidad,1,,visible,,,,,,,1,1,,,,,,,,,,,2500.00,,,,,,,100020581,,,,,,1,Presentacion,Unidad,,
,variable,100004185,NEUROBION 30 TABLETAS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100004185-Caja,NEUROBION 30 TABLETAS - Caja,1,,visible,,,,,,,1,4,,,,,,,,,,,38900.00,,,,,,,100004185,,,,,,1,Presentacion,Caja,,
,variation,100004185-Blister,NEUROBION 30 TABLETAS - Blister,1,,visible,,,,,,,1,8,,,,,,,,,,,12900.00,,,,,,,100004185,,,,,,1,Presentacion,Blister,,
,variation,100004185-Unidad,NEUROBION 30 TABLETAS - Unidad,1,,visible,,,,,,,1,8,,,,,,,,,,,1000.00,,,,,,,100004185,,,,,,1,Presentacion,Unidad,,
,simple,C100004185,NEUROBION 30 TABLETAS,1,,visible,,,,,,,1,8,,,,,,,,,,,35000.00,,,,,,,,,,,,,,,,,
,variable,200007920,MANTECA DE CACAO ICOM LABIAL 12 UDS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,200007920-Caja,MANTECA DE CACAO ICOM LABIAL 12 UDS - Caja,1,,visible,,,,,,,1,12,,,,,,,,,,,16900.00,,,,,,,200007920,,,,,,1,Presentacion,Caja,,
,variation,200007920-Unidad,MANTECA DE CACAO ICOM LABIAL 12 UDS - Unidad,1,,visible,,,,,,,1,30,,,,,,,,,,,1300.00,,,,,,,200007920,,,,,,1,Presentacion,Unidad,,
,variable,C200007920,MANTECA DE CACAO ICOM LABIAL 12 UDS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,C200007920-Caja,MANTECA DE CACAO ICOM LABIAL 12 UDS - Caja,1,,visible,,,,,,,1,3,,,,,,,,,,,16900.00,,,,,,,C200007920,,,,,,1,Presentacion,Caja,,
,variation,C200007920-Unidad,MANTECA DE CACAO ICOM LABIAL 12 UDS - Unidad,1,,visible,,,,,,,1,21,,,,,,,,,,,1500.00,,,,,,,C200007920,,,,,,1,Presentacion,Unidad,,
,simple,G200007920,MANTECA DE CACAO ICOM LABIAL 12 UDS,1,,visible,,,,,,,1,18,,,,,,,,,,,1300.00,,,,,,,,,,,,,,,,,
,simple,100015111,MEPROGAL 15 MG 10 TBS ICOM (PD) (T),1,,visible,,,,,,,1,11,,,,,,,,,,,23900.00,,,,,,,,,,,,,,,,,
,simple,200020369,ACIDO BORICO 15 GR 30 SBS ATHOS,1,,visible,,,,,,,1,21,,,,,,,,,,,500.00,,,,,,,,,,,,,,,,,
,simple,100008310,LOSARTAN 50 MG 30 TABLETAS LS,1,,visible,,,,,,,1,3,,,,,,,,,,,13900.00,,,,,,,,,,,,,,,,,
